"protein_name","mri_beta","mri_p","mri_adj_p_sig","ct1_beta","ct_p","ct_adj_p_sig","sig_both","estimate_pnpla3","p.value_pnpla3","pro_sig","estimate_tm6sf2","estimate_hsd17b13","p.value_tm6sf2","p.value_hsd17b13","t_sig","h_sig","gene_description","Liver","Expression_Category","level","estimate_hcc","p.value_hcc","estimate_cirr","p.value_cirr","CellType","enriched","estimate_bmi","p.value_bmi","estimate_alc","p.value_alc"
"acadsb",0.102289395762602,4.66291283987107e-09,"yes",0.0547237720682494,0.00562538623964577,"no","no",-0.00473339596510572,0.114772663142041,"no",-0.0010714261469849,1.74046731847568e-05,0.574564858348564,0.995683322219628,"no","no","Short/branched chain acyl-CoA dehydrogenase(ACADSB) is a member of the acyl-CoA dehydrogenase family of enzymes that catalyze the dehydrogenation of acyl-CoA derivatives in the metabolism of fatty acids or branch chained amino acids.
Substrate specificity is the primary characteristic used to define members of this gene family.
The ACADSB gene product has the greatest activity towards the short branched chain acyl-CoA derivative,
(S)-2-methylbutyryl-CoA,
but also reacts significantly with other 2-methyl branched chain substrates and with short straight chain acyl-CoAs.
The cDNA encodes for a mitochondrial precursor protein which is cleaved upon mitochondrial import and predicted to yield a mature peptide of approximately 43.7-KDa.
[provided by RefSeq,
Jul 2008].
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: SRR14038193.2018708.1,
SRR14038197.1498577.1 [ECO:0000332]; RNAseq introns: single sample supports all introns SAMEA1968832,
SAMEA2142348 [ECO:0000348].
 RefSeq Attributes: gene product(s) localized to mito.: reported by MitoCarta.",97.0343,"Broadly expressed","medium-low",-0.247788899475754,0.0742610989174938,0.016988551953014,0.819899239867486,"Hepatocyte_2","Hepatocyte-enriched",0.168162135007671,8.30753892901212e-12,-0.002384203141838,0.686411941743963
"acan",-0.357488183075304,3.25869772711561e-17,"yes",-0.294158343163131,8.81103243958376e-10,"yes","yes",0.0260087254409678,0.00118303913333828,"no",-0.0110567615050833,0.00123815496357395,0.030635654920289,0.885536338531003,"no","no","This gene is a member of the aggrecan/versican proteoglycan family.
The encoded protein is an integral part of the extracellular matrix in cartilagenous tissue and it withstands compression in cartilage.
Mutations in this gene may be involved in skeletal dysplasia and spinal degeneration.
Multiple alternatively spliced transcript variants that encode different protein isoforms have been observed in this gene.
[provided by RefSeq,
Jul 2008].",0.011255,"Not expressed in liver","not expressed",0.477943260327982,0.182693289930929,-0.575155672516177,0.00440990713031912,NA,NA,-3.07153897584271,4.74303020007597e-322,-0.219910979163969,7.15494476870202e-44
"ace",0.0882100106855102,0.140075408608706,"no",-0.0150370710459362,0.826026203442661,"no","no",0.0129107094397297,0.202768959286898,"no",0.00254588909199964,0.00256932051935997,0.692674584988707,0.812979065785495,"no","no","This gene encodes an enzyme involved in blood pressure regulation and electrolyte balance.
It catalyzes the conversion of angiotensin I into a physiologically active peptide angiotensin II.
Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance.
This angiotensin converting enzyme (ACE) also inactivates the vasodilator protein,
bradykinin.
Accordingly,
the encoded enzyme increases blood pressure and is a drug target of ACE inhibitors,
which are often prescribed to reduce blood pressure.
This enzyme additionally plays a role in fertility through its ability to cleave and release GPI-anchored membrane proteins in spermatozoa.
Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme.
This polymorphism,
as well as mutations in this gene,
have been implicated in a wide variety of diseases including cardiovascular pathophysiologies,
psoriasis,
renal disease,
stroke,
and Alzheimer's disease.
Regulation of the homologous ACE2 gene may be involved in progression of disease caused by several human coronaviruses,
including SARS-CoV and SARS-CoV-2.
Alternative splicing results in multiple transcript variants encoding both somatic (sACE) and male-specific testicular (tACE) isoforms.
[provided by RefSeq,
Sep 2020].
 Sequence Note: The RefSeq transcript and protein were derived from genomic sequence to make the sequence consistent with the reference genome assembly.
The genomic coordinates used for the transcript record were based on alignments.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: RNAseq introns: partial sample support SAMEA1965299,
SAMEA1966682 [ECO:0000350].
 RefSeq Attributes: coronavirus related: relevant for disease process.",0.520167,"Broadly expressed","low",0.62439756446784,0.133004272416245,0.862677813180785,5.9307142399519e-05,"Non-inflammatory_Macrophage","Immune-enriched",0.680013214797283,2.71232136927584e-16,0.0203838429768622,0.302294190710452
"ace2",0.419225975679536,1.83104900457092e-55,"yes",0.364427092795281,8.73616124258304e-34,"yes","yes",0.0246627769382421,2.76809006753281e-08,"yes",0.00668977076110161,-0.0140397704673008,0.0180905996950602,0.00315163307399194,"no","no","The protein encoded by this gene belongs to the angiotensin-converting enzyme family of dipeptidyl carboxydipeptidases and has considerable homology to human angiotensin 1 converting enzyme.
This secreted protein catalyzes the cleavage of angiotensin I into angiotensin 1-9,
and angiotensin II into the vasodilator angiotensin 1-7.
ACE2 is known to be expressed in various human organs,
and its organ- and cell-specific expression suggests that it may play a role in the regulation of cardiovascular and renal function,
as well as fertility.
In addition,
the encoded protein is a functional receptor for the spike glycoprotein of the human coronavirus HCoV-NL63 and the human severe acute respiratory syndrome coronaviruses,
SARS-CoV and SARS-CoV-2,
the latter is the causative agent of coronavirus disease-2019 (COVID-19).
Multiple splice variants have been found for this gene and the dACE2 (or MIRb-ACE2) splice variant has been found to be interferon inducible.
[provided by RefSeq,
Nov 2020].",0.647933,"Broadly expressed","low",1.34746435502247,4.64154175779668e-35,1.48992107347182,8.45742751819436e-136,"Cholangiocytes","Cholangiocyte-enriched",2.02743734138032,4.74303020007597e-322,0.160162815711882,8.42105337311089e-74
"ache",-0.0143369159547942,0.773552530432172,"no",-0.133963936625808,0.0156769682563094,"no","no",0.0437697170315244,7.99676604082441e-08,"yes",-0.00489472858273274,-0.00435341267951874,0.345923493353831,0.618538453544687,"no","no","Acetylcholinesterase hydrolyzes the neurotransmitter,
acetylcholine at neuromuscular junctions and brain cholinergic synapses,
and thus terminates signal transmission.
It is also found on the red blood cell membranes,
where it constitutes the Yt blood group antigen.
Acetylcholinesterase exists in multiple molecular forms which possess similar catalytic properties,
but differ in their oligomeric assembly and mode of cell attachment to the cell surface.
It is encoded by the single ACHE gene,
and the structural diversity in the gene products arises from alternative mRNA splicing,
and post-translational associations of catalytic and structural subunits.
The major form of acetylcholinesterase found in brain,
muscle and other tissues is the hydrophilic species,
which forms disulfide-linked oligomers with collagenous,
or lipid-containing structural subunits.
The other,
alternatively spliced form,
expressed primarily in the erythroid tissues,
differs at the C-terminal end,
and contains a cleavable hydrophobic peptide with a GPI-anchor site.
It associates with the membranes through the phosphoinositide (PI) moieties added post-translationally.
AChE activity may constitute a sensitive biomarker of RBC ageing in vivo,
and thus,
may be of aid in understanding the effects of transfusion[provided by RefSeq,
Sep 2019].
 Sequence Note: The RefSeq transcript and protein were derived from genomic sequence to make the sequence consistent with the reference genome assembly.
The genomic coordinates used for the transcript record were based on alignments.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: SRR3476690.1042626.1,
SRR14372080.1299628.1 [ECO:0000332]; RNAseq introns: single sample supports all introns SAMEA1966682,
SAMEA1968968 [ECO:0000348].",1.14183,"Broadly expressed","low",1.13830249444079,1.18795145490154e-07,1.26023582477954,4.99325884824042e-33,"Erythroid_Cells","Immune-enriched",-0.920551231470699,4.80230052003028e-43,0.1483072590719,1.55596796448441e-20
"acot13",0.0538717736307055,0.000104944380720428,"no",0.0572479157027998,0.000220665893882361,"no","no",-0.0022602033328489,0.337634837811753,"no",0.00259486355726811,-0.000862485522279112,0.0833907624133823,0.73251875894451,"no","no","This gene encodes a member of the thioesterase superfamily.
In humans,
the protein co-localizes with microtubules and is essential for sustained cell proliferation.
The orthologous mouse protein forms a homotetramer and is associated with mitochondria.
The mouse protein functions as a medium- and long-chain acyl-CoA thioesterase.
Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq,
May 2009].",12.7837,"Broadly expressed","medium-low",-0.0191862025696515,0.852987407325848,0.0543191803168259,0.359025340265282,"Hepatocyte_6","Hepatocyte-enriched",0.243149793710114,1.69346074720547e-36,-0.0283858511956882,8.78728624981178e-10
"acox1",0.0891663632502515,0.000233297402488394,"no",0.109552431899371,4.1022661960214e-05,"no","no",-0.00987787378960185,0.0339295632989346,"no",-0.00148465717474791,0.00184799304803408,0.616868230575084,0.711282117811835,"no","no","The protein encoded by this gene is the first enzyme of the fatty acid beta-oxidation pathway,
which catalyzes the desaturation of acyl-CoAs to 2-trans-enoyl-CoAs.
It donates electrons directly to molecular oxygen,
thereby producing hydrogen peroxide.
Defects in this gene result in pseudoneonatal adrenoleukodystrophy,
a disease that is characterized by accumulation of very long chain fatty acids.
Alternatively spliced transcript variants encoding different isoforms have been identified.
[provided by RefSeq,
Jul 2008].",37.2952,"Broadly expressed","medium-low",0.337727962917098,0.0512516150208895,0.287362744133337,0.00512039356598344,"Hepatocyte_4","Hepatocyte-enriched",0.519371273900858,2.21742055356845e-42,-0.0217853260628535,0.0169043268880062
"acp1",0.0376327655333312,0.269842909814253,"no",-0.0521737932682363,0.169334131467395,"no","no",-0.00760337096225332,0.208200659163221,"no",-0.0023248286623184,-0.0096568232293362,0.545913142443367,0.135698841346411,"no","no","The product of this gene belongs to the phosphotyrosine protein phosphatase family of proteins.
It functions as an acid phosphatase and a protein tyrosine phosphatase by hydrolyzing protein tyrosine phosphate to protein tyrosine and orthophosphate.
This enzyme also hydrolyzes orthophosphoric monoesters to alcohol and orthophosphate.
This gene is genetically polymorphic,
and three common alleles segregating at the corresponding locus give rise to six phenotypes.
Each allele appears to encode at least two electrophoretically different isozymes,
Bf and Bs,
which are produced in allele-specific ratios.
Multiple alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene.
[provided by RefSeq,
Aug 2008].",27.8709,"Broadly expressed","medium-low",-0.155548559124981,0.565792215739173,-0.334514582792569,0.0403131301357945,"Erythroid_Cells","Immune-enriched",0.0228632133395229,0.644744990348529,-0.0579233819362232,8.32904760643385e-07
"acp5",0.564045747912154,8.26271353665649e-54,"yes",0.143765437612505,0.000459923342179475,"no","no",0.0503025864073553,5.10563184108034e-13,"yes",0.0297890998357705,-0.00243404375347348,1.89187433319424e-11,0.74438180321824,"yes","no","This gene encodes an iron containing glycoprotein which catalyzes the conversion of orthophosphoric monoester to alcohol and orthophosphate.
It is the most basic of the acid phosphatases and is the only form not inhibited by L(+)-tartrate.
[provided by RefSeq,
Aug 2008].",5.42059,"Broadly expressed","low",1.00751599211975,1.31818415116582e-12,1.11253221154429,7.03098187131618e-53,"Central_venous_LSECs","EC-enriched",1.16078576316344,1.45104165143589e-92,0.184086758762697,5.25637194398653e-42
"acp6",0.0253109268865343,0.158953996190077,"no",0.0253882619721334,0.210968107368655,"no","no",-0.0010601693739651,0.757286846505234,"no",-0.00508950013363796,-0.00659754053421139,0.019812898901698,0.0725484250048371,"no","no","This gene encodes a member of the histidine acid phosphatase protein family.
The encoded protein hydrolyzes lysophosphatidic acid,
which is involved in G protein-coupled receptor signaling,
lipid raft modulation,
and in balancing lipid composition within the cell.
Alternative splicing results in multiple transcript variants.
[provided by RefSeq,
May 2016].",2.74632,"Broadly expressed","low",0.449969785411613,0.0115731149411386,0.117872776058982,0.195342724157061,"alpha-beta_T_Cells","Immune-enriched",0.147547949981464,1.4314311474748e-07,0.0246195771800245,0.000213987855759642
"acrbp",0.134899801523278,0.000545548994986629,"no",0.1245463294507,0.00402442931470021,"no","no",-0.00641222863832038,0.353901461450857,"no",0.00555158549338353,0.00076127154451839,0.206939394401211,0.918166553792697,"no","no","The protein encoded by this gene is similar to proacrosin binding protein sp32 precursor found in mouse,
guinea pig,
and pig.
This protein is located in the sperm acrosome and is thought to function as a binding protein to proacrosin for packaging and condensation of the acrosin zymogen in the acrosomal matrix.
This protein is a member of the cancer/testis family of antigens and it is found to be immunogenic.
In normal tissues,
this mRNA is expressed only in testis,
whereas it is detected in a range of different tumor types such as bladder,
breast,
lung,
liver,
and colon.
[provided by RefSeq,
Jul 2008].
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: SRR5189667.225875.1,
SRR5189667.186649.1 [ECO:0000332]; RNAseq introns: mixed sample support SAMEA1965299,
SAMEA1966682 [ECO:0006172].
 RefSeq Attributes: MANE Ensembl match: ENST00000229243.7/ ENSP00000229243.2; RefSeq Select criteria: based on single protein-coding transcript.",1.12305,"Broadly expressed","low",0.281565891763137,0.291155940565858,0.223706144060145,0.150053122434691,"Inflammatory_Macrophage","Immune-enriched",0.485152455036611,1.06270511663281e-17,-0.0832996542191934,9.19883916561086e-10
"acrv1",-0.00130827104165767,0.950562134163397,"no",-0.015852057824666,0.506196085951925,"no","no",-0.00418448149122232,0.24477631553295,"no",0.00266986973797158,-0.0085805807734241,0.244162142049895,0.0259922127152639,"no","no","This gene encodes a testis-specific,
differentiation antigen,
acrosomal vesicle protein 1,
that arises within the acrosomal vesicle during spermatogenesis,
and is associated with the acrosomal membranes and matrix of mature sperm.
The acrosomal vesicle protein 1 may be involved in sperm-zona binding or penetration.
Alternatively spliced transcript variants have been described.
[provided by RefSeq,
Nov 2010].",0.017886,"Not expressed in liver","not expressed",-0.0555796134621168,0.691826032827679,0.0686612507725797,0.35602614901982,NA,NA,0.0765677308372004,0.00948585037335142,-0.0275861456458053,4.59743818339286e-05
"acsl1",-0.138616542618489,0.00291130437287068,"no",-0.0584911408225819,0.26548278216366,"no","no",-0.00394277567764844,0.595287196153403,"no",0.00210435559555264,-0.0199625359623658,0.655406917818938,0.012120381490899,"no","no","The protein encoded by this gene is an isozyme of the long-chain fatty-acid-coenzyme A ligase family.
Although differing in substrate specificity,
subcellular localization,
and tissue distribution,
all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters,
and thereby play a key role in lipid biosynthesis and fatty acid degradation.
Several transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
Nov 2013].",384.185,"Broadly expressed","medium-high",-0.207952564241119,0.574876869695479,-0.0699699080454331,0.721375216739862,"Hepatocyte_3","Hepatocyte-enriched",-0.341811657605304,2.06426364457146e-08,0.0109656991542856,0.454921948469815
"acta2",-0.0276597018065148,0.34720415416854,"no",0.135650816380846,3.41595489839729e-05,"no","no",-6.93068595665013e-06,0.998968316102422,"no",-0.00411103340459696,0.000477347226091482,0.228886037061371,0.933731338847544,"no","no","This gene encodes one of six different actin proteins.
Actins are highly conserved proteins that are involved in cell motility,
structure,
integrity,
and intercellular signaling.
The encoded protein is a smooth muscle actin that is involved in vascular contractility and blood pressure homeostasis.
Mutations in this gene cause a variety of vascular diseases,
such as thoracic aortic disease,
coronary artery disease,
stroke,
and Moyamoya disease,
as well as multisystemic smooth muscle dysfunction syndrome.
[provided by RefSeq,
Sep 2017].
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: SRR5189667.200620.1 [ECO:0000332]; RNAseq introns: mixed sample support SAMEA1965299,
SAMEA1966682 [ECO:0006172].",27.3746,"Broadly expressed","medium-low",0.550738743908223,0.000469116925848383,0.565059035797196,1.1001031284012e-10,"Hepatic_Stellate_Cells","Stellate cells-enriched",0.766371937305778,6.88450585451032e-69,-0.0708258529949743,2.16430016089381e-11
"actn2",0.0230348210713084,0.391122219876828,"no",0.0152301834374295,0.608695642365815,"no","no",-0.00525191231082513,0.257005048081939,"no",-0.0041513785152783,-0.00304829516706106,0.158440820684929,0.539452662357881,"no","no","Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins,
including the alpha and beta spectrins and dystrophins.
Alpha actinin is an actin-binding protein with multiple roles in different cell types.
In nonmuscle cells,
the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions,
where it is involved in binding actin to the membrane.
In contrast,
skeletal,
cardiac,
and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies,
where they help anchor the myofibrillar actin filaments.
This gene encodes a muscle-specific,
alpha actinin isoform that is expressed in both skeletal and cardiac muscles.
Several transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
May 2013].
 Sequence Note: This RefSeq record was created from transcript and genomic sequence data to make the sequence consistent with the reference genome assembly.
The genomic coordinates used for the transcript record were based on transcript alignments.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: M86406.1,
BC047901.2 [ECO:0000332].
 RefSeq Attributes: MANE Ensembl match: ENST00000366578.6/ ENSP00000355537.4; RefSeq Select criteria: based on conservation,
expression,
longest protein.",0.203601,"Not expressed in liver","not expressed",0.210210710747236,0.25175297056187,0.38376131919722,2.4573029263048e-05,"Hepatic_Stellate_Cells","Stellate cells-enriched",0.464997681656499,2.48406652002806e-34,-0.0155041622922233,0.0855936248426142
"actn4",0.0314426093097893,0.412225048205127,"no",0.0897313140192698,0.0353367089922132,"no","no",-0.00658560249237943,0.372265790141333,"no",-0.00321072896773342,-0.0110677297720913,0.494577777520601,0.16162128269172,"no","no","Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins,
including the alpha and beta spectrins and dystrophins.
 Alpha actinin is an actin-binding protein with multiple roles in different cell types.
 In nonmuscle cells,
the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions,
where it is involved in binding actin to the membrane.
 In contrast,
skeletal,
cardiac,
and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies,
where they help anchor the myofibrillar actin filaments.
 This gene encodes a nonmuscle,
alpha actinin isoform which is concentrated in the cytoplasm,
and thought to be involved in metastatic processes.
Mutations in this gene have been associated with focal and segmental glomerulosclerosis.
[provided by RefSeq,
Jul 2008].
 Sequence Note: This RefSeq record was created from transcript and genomic sequence data to make the sequence consistent with the reference genome assembly.
The genomic coordinates used for the transcript record were based on transcript alignments.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: SRR1660807.80986.1,
SRR7410571.175867.1 [ECO:0000332]; RNAseq introns: single sample supports all introns SAMEA1965299,
SAMEA1966682 [ECO:0000348].",51.7467,"Broadly expressed","medium-low",0.25262571929589,0.360272501392152,0.00307894769703317,0.986864575394071,"Hepatic_Stellate_Cells","Stellate cells-enriched",0.220784095157712,0.000251040708867814,-0.062947537783384,1.25663707680941e-05
